feature,lr_coefficient,gb_importance
gold_yoy_change_pct,0.0,0.3573
world_gold_share_pct,-0.1438,0.3301
usd_share_drawdown_pct,0.8134,0.2387
global_usd_positive_pct,0.5306,0.0686
accumulation_streak,0.429,0.0052
gold_share_pct,-0.0507,0.0
gold_share_yoy_change,0.0769,0.0
gold_share_vs_world,-0.0418,0.0
country_share_of_world_gold_pct,0.0859,0.0
usd_share_yoy_change,-0.4281,0.0
accumulating_during_usd_decline,0.1759,0.0
sanctions_score,-0.0055,0.0
geo_risk_score,-0.0004,0.0
un_alignment_score,0.0707,0.0
global_usd_negative_pct,0.0694,0.0
