country_code,year,nlp_article_count,nlp_gold_positive,nlp_gold_negative,nlp_usd_positive,nlp_usd_negative,nlp_dedollar_mentions,nlp_sanctions_mentions,nlp_composite_signal,nlp_avg_sentiment_score
BRA,2023,1,,,0.0,0.0,1,0,,0.0
CHN,2015,2,100.0,0.0,0.0,0.0,1,0,100.0,0.25
CHN,2016,1,,,100.0,0.0,1,0,,0.5
CHN,2017,3,100.0,0.0,0.0,100.0,1,0,100.0,0.1667
CHN,2019,1,,,100.0,0.0,1,0,,0.6667
CHN,2020,2,100.0,0.0,0.0,0.0,1,0,100.0,0.25
CHN,2021,2,0.0,0.0,0.0,0.0,1,0,0.0,0.0
CHN,2022,4,100.0,0.0,0.0,0.0,2,1,100.0,0.0
CHN,2023,3,50.0,0.0,0.0,0.0,1,0,50.0,0.1667
CHN,2024,2,0.0,0.0,0.0,0.0,1,0,0.0,0.0
CZE,2023,2,100.0,0.0,,,0,0,,0.5834
EGY,2022,1,0.0,0.0,,,0,0,,0.0
GBR,2021,1,,,,,0,1,,0.5
HUN,2018,1,100.0,0.0,,,0,0,,0.75
HUN,2021,1,100.0,0.0,,,0,0,,0.75
IND,2016,1,0.0,0.0,,,0,0,,0.0
IND,2019,1,100.0,0.0,,,0,0,,0.75
IND,2020,1,100.0,0.0,,,0,0,,0.5
IND,2021,1,100.0,0.0,,,0,0,,0.5
IND,2022,1,100.0,0.0,,,0,0,,0.6667
IND,2023,2,0.0,0.0,0.0,100.0,1,0,0.0,-0.25
IND,2024,3,66.67,0.0,,,0,0,,0.3333
IRN,2015,1,,,,,0,1,,-0.6667
IRN,2018,2,,,0.0,100.0,1,1,,-0.25
IRN,2019,1,,,0.0,0.0,1,0,,0.0
IRN,2020,1,,,,,0,1,,0.0
IRN,2022,1,,,,,0,1,,-0.6667
IRN,2024,1,,,,,0,1,,-0.5
KAZ,2015,1,100.0,0.0,,,0,0,,0.5
KAZ,2021,1,100.0,0.0,,,0,0,,0.5
KAZ,2024,1,100.0,0.0,,,0,0,,0.5
POL,2017,1,100.0,0.0,,,0,0,,0.6667
POL,2019,1,100.0,0.0,,,0,0,,0.5
POL,2022,1,100.0,0.0,,,0,0,,0.6667
POL,2023,1,100.0,0.0,,,0,0,,0.5
POL,2024,1,100.0,0.0,,,0,0,,0.5
QAT,2019,1,100.0,0.0,,,0,0,,0.75
QAT,2022,1,0.0,0.0,,,0,0,,0.0
RUS,2015,2,100.0,0.0,,,0,1,,0.0
RUS,2016,3,100.0,0.0,0.0,0.0,1,1,100.0,0.25
RUS,2017,1,,,,,0,1,,-0.6667
RUS,2018,3,0.0,100.0,0.0,0.0,1,1,0.0,-0.1667
RUS,2020,2,0.0,0.0,,,0,1,,0.0
RUS,2022,6,,,0.0,50.0,3,2,,-0.2778
RUS,2023,2,,,,,0,2,,0.25
RUS,2024,2,,,100.0,0.0,1,1,,0.0
SGP,2021,1,100.0,0.0,,,0,0,,0.5
SGP,2023,2,0.0,0.0,,,0,0,,0.0
TUR,2016,1,100.0,0.0,,,0,0,,0.5
TUR,2018,2,100.0,0.0,0.0,0.0,1,0,100.0,0.25
TUR,2022,2,50.0,0.0,,,0,0,,0.3334
TUR,2024,1,0.0,0.0,,,0,0,,0.0
USA,2016,1,,,100.0,0.0,0,0,,0.6667
UZB,2022,1,0.0,0.0,,,0,0,,0.0
VEN,2016,1,,,,,0,1,,-0.8333
VEN,2017,1,,,100.0,0.0,1,0,,0.5
VEN,2019,1,,,,,0,1,,-0.6667
